CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
0.0295438 756.432 954.923 1118.9 1242.22 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.45 954.945 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.447 954.941 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.029545 756.462 954.96 1118.94 1242.27 7072.74 3437.86 2925.55 2575 2345.87
0.0295439 756.434 954.925 1118.9 1242.23 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.45 954.944 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.447 954.941 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295454 756.473 954.975 1118.96 1242.29 7072.74 3437.86 2925.55 2575 2345.87
0.0295435 756.423 954.911 1118.88 1242.21 7072.74 3437.86 2925.55 2575 2345.87
0.0295446 756.451 954.946 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.446 954.939 1118.91 1242.24 7072.74 3437.86 2925.55 2575 2345.87
0.029545 756.462 954.96 1118.94 1242.27 7072.74 3437.86 2925.55 2575 2345.87
0.0295439 756.435 954.926 1118.9 1242.23 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.449 954.944 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.447 954.941 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295448 756.458 954.955 1118.93 1242.26 7072.74 3437.86 2925.55 2575 2345.87
0.0295441 756.439 954.931 1118.9 1242.23 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.449 954.944 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.447 954.941 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.029545 756.463 954.961 1118.94 1242.27 7072.74 3437.86 2925.55 2575 2345.87
0.0295439 756.433 954.924 1118.9 1242.22 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.45 954.945 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.447 954.941 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295446 756.453 954.95 1118.93 1242.26 7072.75 3437.86 2925.55 2575 2345.87
0.0295443 756.443 954.936 1118.91 1242.24 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.449 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
