Bcru CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
79766.3 0.0624681 957.157 3208.45 2277.29 1925.07 17647.3 13424.2 8749.61 10196.6 10885.2
79228.9 0.0623739 955.723 3203.74 2273.91 1922.2 17689.5 13456.6 8770.04 10220.8 10911.2
74019.3 0.0614485 941.646 3157.5 2240.79 1894.12 18119.5 13786.6 8977.69 10467.6 11176.2
62110.6 0.0584852 896.931 3013.7 2136.86 1805.68 18694.7 14226.1 9246.08 10791.3 11525.5
45191.3 0.0531401 815.523 2745.2 1944.92 1643.03 20917.9 15933.4 10354.4 12087.8 12910.7
35128.6 0.0591248 908.335 3066.62 2169.82 1832.18 23029.1 17592.5 11399.5 13336.9 14252.3
39708 0.0558163 857.042 2889.13 2045.59 1727.68 21942.2 16738.7 10862 12694.2 13562
33433.7 0.055436 851.576 2873.71 2033.79 1717.43 22754.3 17373.3 11225 13149.9 14059
28855.4 0.0544501 835.351 2809.5 1991.23 1682.37 22249.2 16963.8 10895.2 12798.1 13696
27749.6 0.0531808 815.755 2742.59 1944.11 1642.65 23260.9 17725.2 11368.4 13361.6 14302.1
27965 0.0521859 799.544 2680.01 1902.18 1607.99 24026.3 18273.1 11682.1 13747 14721.9
29295.6 0.0553662 846.989 2828.12 2010.62 1700.68 25335.6 19230.1 12241 14429.8 15463.5
31728.5 0.0671783 1025.13 3401.2 2424.65 2052.93 26388.4 19980.8 12680.9 14963.3 16042.3
30343.9 0.0663406 1011.7 3350.93 2390.6 2024.64 25636.7 19381.3 12264.9 14488.3 15540.1
30107.6 0.0711302 1083.45 3577.42 2555.6 2165.43 25442.8 19182.5 12078.2 14295.5 15345.2
28897.7 0.0780632 1187.18 3903.7 2793.72 2368.73 25444.6 19101.2 11907.5 14151.4 15214.1
29328.7 0.0752913 1145.69 3773.02 2698.4 2287.38 25443.7 19132.4 11972.7 14206.5 15264.3
29041.8 0.0820581 1248.3 4107.94 2938.84 2491.48 26965.1 20215.3 12564.7 14950.6 16080.8
28488.9 0.0941343 1430.52 4695.2 3362.75 2852.03 29671.1 22092.4 13556.6 16211.4 17471.4
26864.2 0.116277 1763.97 5764.2 4136.17 3510.41 34648 25463.2 15246.9 18407 19912.8
27999.5 0.124954 1896.41 6203.69 4449.48 3775.68 35187.1 25802.4 15401.2 18614.1 20146.6
28657.8 0.127329 1933.08 6328.75 4537.61 3849.97 35543.5 26072.8 15583.6 18823.2 20368.6
30998.7 0.148932 2258.52 7372.67 5292.76 4492.73 38305.6 27990.6 16613.5 20121.2 21796.5
32816.7 0.170551 2583.93 8414.53 6046.99 5134.9 41662.7 30240.5 17714.5 21566.3 23409.5
33444.3 0.171983 2606.03 8490.1 6100.15 5179.7 42208.4 30621.4 17917.7 21823.8 23693.1
33802.2 0.172208 2609.17 8498.13 6106.57 5185.37 41194.2 29864.4 17464 21274.3 23098.6
33764.8 0.1724 2610.58 8490.3 6104.76 5185.01 40468.8 29266.8 17039.8 20792.1 22590.3
34021.1 0.180027 2723.64 8837.2 6360.68 5404.36 41000.4 29572.8 17140.3 20950 22777.6
33416 0.186334 2816.81 9120.79 6570.59 5584.5 42170 30315.2 17466.6 21397.1 23285
33182.6 0.187214 2829.84 9160.74 6600.05 5609.75 42610.9 30600.3 17603.3 21576.6 23485.9
32967.7 0.187821 2839.5 9196.06 6624.22 5629.91 43564.2 31266.6 17962.4 22029 23983.4
33382.5 0.189961 2872.53 9309.23 6703.77 5696.93 44000.4 31545.7 18092.7 22202.2 24178.1
33341.8 0.188985 2857.35 9256.33 6666.82 5665.88 44936.4 32191.1 18443.7 22640.5 24659.2
33257.7 0.186979 2825.72 9143.12 6588.62 5600.45 45191.6 32336.5 18503.1 22721.8 24752.6
33011.3 0.185996 2811.22 9099.3 6556.07 5572.49 44957.3 32158.7 18393.7 22590.8 24611.4
32528.1 0.183866 2779.49 9000.6 6483.68 5510.57 44463.2 31786.3 18163.3 22315.7 24315.2
32426.2 0.185341 2801.29 9067.09 6532.85 5552.76 44760.8 31961.1 18230 22412.2 24427.2
32317.4 0.186051 2811.4 9094.58 6554.27 5571.47 45265.1 32277.9 18373.7 22604.8 24644.7
31955.7 0.188018 2839.58 9173.01 6614.72 5624.07 45905.3 32627.3 18476.6 22774 24848.8
31134.6 0.190252 2871.17 9257.67 6681.09 5682.17 46653.7 32993.7 18532.1 22910.8 25029.4
30041.6 0.198251 2987.72 9599.3 6938.16 5904.09 48053.2 33667.2 18607.6 23143.3 25346.3
29837.7 0.200455 3020.25 9698 7011.33 5966.91 48029.8 33621.5 18548.8 23086.8 25291.5
30159 0.20762 3128.6 10049.3 7264.23 6181.81 48405.8 33882.6 18672.5 23253.8 25479
30165 0.221106 3331.62 10700.2 7735.08 6582.62 49996.4 34912.4 19127.4 23879.2 26188.3
30959.1 0.248071 3736.89 11993.4 8672.5 7381.18 52206 36284.4 19659.6 24657.3 27088.6
31026.2 0.247842 3733.44 11981.9 8664.38 7374.31 52285.2 36360.1 19719.2 24723.3 27157.2
31189.8 0.249342 3755.61 12049.4 8714.34 7417.18 52705.6 36652.5 19878.4 24922.4 27375.7
31644.8 0.253274 3814.96 12240.7 8852.45 7534.65 53462.6 37184.8 20168.7 25286.4 27775.2
31456.7 0.256327 3860.01 12377.2 8953.68 7621.59 53683.1 37282.5 20154.8 25303 27807.9
31399.3 0.256273 3858.97 12372 8950.51 7619.07 53761.7 37327.7 20169.8 25326.4 27835.6
31414.1 0.261696 3939.72 12623.6 9134.75 7776.61 54594.2 37828.7 20362.5 25606.1 28159.6
31278.9 0.271499 4085.93 13081.5 9469.33 8062.46 56259.5 38825 20732.5 26153.4 28797.1
31187.3 0.286669 4312.34 13791.3 9987.74 8505.3 58193.8 39953.8 21117.3 26747 29497.8
31146.3 0.289745 4357.77 13929.5 10090 8593.1 58759.2 40296.3 21253 26940.9 29721.4
30771.3 0.294157 4422.54 14123.8 10234.7 8717.54 59055.1 40393 21203.5 26926.3 29727
30335.5 0.300768 4519.36 14412.1 10450.1 8903.02 59948.1 40840 21281.6 27101 29953.8
29765.3 0.311763 4681.59 14905.7 10815.3 9216.44 61482.9 41653.5 21491.3 27470.4 30408.6
29706.5 0.320828 4814.99 15308.3 11114.3 9473.38 62023.6 41864.4 21459.9 27497 30468.7
29585.5 0.327408 4909.37 15572.5 11317.2 9649.84 61908.7 41582.6 21145.1 27171.8 30145.6
29290.4 0.332869 4987.24 15787.5 11483.4 9794.63 61637.7 41164.7 20735.2 26736.3 29705.8
29641.8 0.341371 5111.51 16156.6 11759.3 10032.3 61997.4 41169.2 20534.3 26572.9 29569.3
29685.5 0.339367 5081.22 16058.6 11688.7 9972.29 61736.1 40981 20430.7 26442.7 29426.5
29853.2 0.339074 5076.58 16041.6 11677.1 9962.6 60939.1 40400.1 20093.1 26029.3 28977.2
29756.5 0.337106 5046.65 15943.5 11606.8 9902.95 60625.1 40126.2 19896.3 25803.8 28739.8
29688.5 0.338808 5071.07 16012.8 11659.5 9948.75 61056.8 40246.7 19801.2 25756.9 28722.3
29985.2 0.342294 5122.55 16170.1 11775.7 10048.4 61186.2 40245.3 19717.9 25689.9 28666.1
30107.6 0.344128 5149.21 16248 11834.4 10099 60934.9 39976.8 19485.3 25438.1 28408.1
29944.6 0.342331 5122.25 16162.3 11772.1 10046 60760.2 39857.4 19418.9 25356.3 28318.6
29960 0.34069 5097.79 16085.9 11716.2 9998.2 60681.7 39811.4 19399.7 25330 28288.6
30033.9 0.34085 5100.33 16095.3 11722.6 10003.5 60669.6 39789.1 19374.8 25304.7 28263.5
30080.5 0.340005 5087.54 16053.9 11692.8 9978.16 60392.8 39578.4 19245.4 25149 28095.6
30071.5 0.339313 5077.09 16020.1 11668.4 9957.46 60221.5 39451 19167.9 25055.7 27995
30111.6 0.337247 5046.2 15922.8 11597.5 9896.91 59910.6 39241.9 19062.7 24919.7 27843.8
